FH_CORTE|FH_INFORMACION|NU_CTO|NU_CTE|CD_BANCO|CD_SUCURSAL|TP_CUENTA_CHEQUES|NU_CTA|CD_TARJETA|NU_BIN_TARJETA|NU_TARJETA|TP_TARJETA|CD_OFICINA_GESTORA|CD_SUBPRODUCTO|CD_VENCIMIENTO_TDC|CD_BANCO_CONTRATO|CD_OFICINA_CONTRATO|TP_CONTRATO|NU_CONTRATO|NU_CAJERO|NU_AFILIACION|CD_TERMINAL_OPERACION|CD_GIRO|CD_ADQUIRENTE|CD_OFICINA_CAJERO|TP_MENSAJE|CD_OPERACION|TP_CUENTA|TP_CUENTA_DESTINO|NU_REF_EGLOBAL|CD_RETORNO|CD_RAZON_RET|NU_OPERACION|FH_OPERACION|HM_HORA|IM_TRANSACCION|CD_MONEDA|IM_TRANSACCION_ORIGINAL|CD_MONEDA_ORIGINAL|IM_COMISION_TP_CAMBIO|IM_COMISION|FH_CONTABLE|NU_OPERACION_ORIGINAL|FH_OPERACION_ORIGINAL|HM_HORA_OPE_ORIGINAL|NU_TERMINAL_ORIGEN|CD_BANCO_ORIGEN|ST_OPERACION_4B|ST_OPER_EXTRANJERO|CD_RESOLUTOR_OPERACION|NU_REFER_AUTRZCN|NU_MOVIMIENTO|CD_CANAL|ST_CTRL_AUTORIZACION|ST_OP_APROB_TJ_BAJA|ST_SITUA_AUTORIZACION|ST_RESOLUCION_FINAL|TP_TAJETA_PA|TP_INDICADOR_OPERACION|ST_TP_DOMILICIACION|CD_PAIS_LETRA|NU_REMESA|CD_ID_ADQUIRIENTE|NB_COMERCIO|HR_REGISTRO_SISTEMA|TP_CTA_SEL_ORIGEN|TP_CTA_SEL_DESTINO|TP_POS_ENTRY_MODE1|TP_POS_ENTRY_MODE2|TP_CAVV|TP_LIBRE_5|TP_ECI|TP_CVV2|TP_RESPUESTA_CVV2|ST_EMV_TERM_CAPABILITY|IM_SALDO|IM_LIMITE|FH_ALTA_TARJETA|ST_RESTRICION_TARJETA|CD_POSTAL_COMERCIO|CD_PAIS|NB_ESTADO_CORTO|CD_DECISION_FALCON|NU_VERSION_TPV|NU_BLOCK_TPV|NU_OPERACION_RED6000|NB_DESCRIPCION|IX_CROSS_BORDER|FH_CARGA|TP_CARGO|NB_OPERACION|IX_REVERSO|IM_MONEDA_ORIGEN|IM_CAMBIO_MON_ORIG|IM_CAMBIO_MON_DIVI|FH_TIPO_CAMBIO|CD_DIVISA_TXN|IM_PTOS_ANTES_COMP|CT_PTOS_ANTES_COMP|IM_PESOS_PUNTOS|NU_PUNTOS_REDIMIDO|CD_CANAL_VNET|CD_POS_MODO_ENTRAD|CD_VALIDA_CVV3|CD_VALIDA_LYNX|CD_CAMP_ACTI_GARAN|CD_PTOS_OTOR_GARAN|CD_AVISOS_GARANTIA|CD_REFERENCIA_CAMP|CD_ASOCIACIO_TARJ|CD_TERMINAL_ADQU|CD_AUTORIZA_PENDIE|CD_LOCALIZA_TERMIN|CD_PRES_TARJHABIEN|CD_PRESENC_TARJETA|CD_CAPTURA_TARJETA|CD_STATUS|CD_SEGU_NIVEL_ADQ|CD_SCORE_EMISOR|CD_SCORE_ADQUIRENT|CD_CTA_COMPROMETID|CD_EVENTO_COMPROME|CD_PAN|CD_CTA_ABONO|CD_PAGO_ASIG_TERM|PC_PAGO|CD_SEGU_COMER_ELEC|CD_VERIFIC_TARJETA|CD_DIFERIMIENTO|CD_PARCILIZACION|TP_PLAN|TP_MULTIPAG_RECIBI|CD_CONVENIO|CD_REFERENCIA|NB_RAZON_SOCI_CONV|CD_GUIA_CIE_UDIS|CD_FOLIO_SUCURSAL|CD_REQ_REVERSO|CD_CONTA_TRANSACCI|CD_PAIS_TERMINAL|CD_MONEDA_EXT|FH_POSTEADA_ADQ|CD_TXN_FINANCIERA|TP_TERMINAL_EMV|CD_ENTRAD_PTO_SERV|CD_CAPACIDAD_TERMI|CD_TARJ_MISMO_PAN|CD_TXN_AUTOR_LINEA|CD_RESP_EMISOR|NB_AUTENT_EMISOR|FH_OPERACION_HORA|FH_TARJETA_ALTA|FH_TARJETA_SITUA|ST_FRAUDE|CD_CLIENTE|CD_SUCURSAL_CTO|CD_SUCURSAL_CTA|CD_RETENCION|ST_TARJETA|CD_CHIP
01/02/2017|24/02/2017||12|74|8137|27|12|4772140000000012|477214|12|TDC|5224|AP|AAMM|74|5224|73|8794920||74770||5734|VISA||1100|0|30|0|6691|0|0|432996485|23/02/2017|144248|139|MXP|139|MXP|0|0|23/02/2017|0|23/02/2017|0||GLOB|N|N|OBBV|470408|1247|TPV|N|||30|P|A|P|US||469216|ITUNES.COM/BILL            C0|23/02/2017 14:41|3||0|1|0|9|7|||0|14406.61|30000|25/03/2016|1|95014137&|US|||0|1|0|9|1|24/02/2017|ECOM|Compra||0|0|61000000|01/01/0001||0|0|0|0||||9||||17B23O||1|0|2|5|0|0|0|0|||||||||7||0|0|0||0|||0||||||0001-01-01|||||||||0001-01-01|0001-01-01|0001-01-01||24078314|5224|8137|||SI
01/03/2017|31/03/2017|15|15|74|3436|29|15|4152310000000015|415231|15||3436|VD|AAMM|74|31|44|17351613||4086762|720849|5411|C001||1200|0|20|0|97872|0|0|193108|30/03/2017|93628|45.9|MXP|45.9|MXP|0|0|30/03/2017|0|30/03/2017|0|849|GLOB|N|N|OBBV|109055|52|TPV|N|||20|P|D|N|MX||12|SUPER DEL NTE LUK          A8|30/03/2017 09:36|1||0|5||4|0|||8|859.6|0|10/02/2012|1|83177|MX|SO||0|0|110||0|31/03/2017|PRESENTE|Compra||0|0|0|01/01/0001||0|0|0|0||||4|N|||17C30J||0|0|0|0|0|0|0|0|||||||||0||0|0|0||0|||0||0|011B|484|484|30/03/2017|0|22|51|5|1||||0001-01-01|0001-01-01|0001-01-01||J5987335|31|3436|||SI
01/01/2017|10/01/2017|65|65|74|357|29|65|4152310000000065|415231|65||357|VD|AAMM|74|357|44|59299172|1474|14740000|||74|357|1200|1|20|0|0|0|0|6687|07/01/2017|115918|600|MXP|600|MXP|0|0|09/01/2017||07/01/2017|115918|1474|74|N|N|OBBV|560207|623|CAJE|N|||20|P|D|N|MX|||14740000|07/01/2017 11:59|1||0|5||||||5|53.63|0|14/04/2015|1|||||0|0|99|1|0|10/01/2017||Retiro cajero||0|0|0|01/01/0001||0|0|0|0||||||||||||||||||||||0|0|||0||0|0|0||0|||0||0|013B|484|484|07/01/2017|1|14|51|5|1||||0001-01-01|0001-01-01|0001-01-01|||||||
01/03/2017|14/03/2017|92|92|74|5774|29|92|4152310000000092|415231|92||5774|VD|AAMM|74|5774|44|40101531||6484224|0050YCT1|5499|C001||1200|0|20|99|413553|0|0|33144395|11/03/2017|10213|27|MXP|27|MXP|0|0|13/03/2017|0|11/03/2017|0|YCT1|GLOB|N|N|OBBV|767742|30|TPV|N|||20|P|D|N|MX||12|OXXO CENTRO                A8|11/03/2017 12:56|1||0|5||0|0|||8|51.2|0|22/12/2014|1|78000|MX|SL||0|0|110||0|14/03/2017|PRESENTE|Compra||0|0|0|01/01/0001||0|0|0|0||||4|N|||17C11B||0|0|0|0|0|0|0|0|||||||||0||0|0|0||0|||0||0|67|484|484|11/03/2017|0|22|51|5|1||||0001-01-01|0001-01-01|0001-01-01||B4473037|5774|5774|||SI
01/03/2017|28/03/2017|78|78|74|4687|1|78|4152310000000078|415231|78||4687|VD|AAMM|74|494|44|79117247||4987500||4121|VISA||1200|0|20|0|739539|0|0|503512106|25/03/2017|210318|90.08|MXP|90.08|MXP|0|0|27/03/2017|0|25/03/2017|0||GLOB|N|N|OBBV|93732|390|TPV|N|||20|P|D|N|NL||498750|UBER MX MAR25 USL          C1|25/03/2017 21:01|1||0|1|0|9|7|||1|363.32|0|01/08/2016|1|0|NL|||0|1|0||1|28/03/2017|ECOM|Compra||0|0|61000000|01/01/0001||0|0|0|0||||9||||17C25V||1|0|2|5|0|0|0|0|||||||||70||0|0|0||0|||0||||||0001-01-01|||||||||0001-01-01|0001-01-01|0001-01-01||B4196737|494|4687|||SI
01/04/2017|04/04/2017|85|85|74|453|15|85|4152310000000085|415231|85||453|VD|AAMM|74|453|44|3188765|9825|98250000|||74|6062|1200|1|20|0|0|0|0|7628|01/04/2017|93243|3000|MXP|3000|MXP|0|0|03/04/2017||01/04/2017|93243|9825|74|N|N|OBBV|970422|45|CAJE|N|||20|P|D|N|MX|||98250000|01/04/2017 09:32|1||0|5||||||5|52.37|0|19/10/2016|1|||||0|0|99|1|0|04/04/2017||DIS TJ DB CAJERO ONLINE(FINAN)||0|0|0|01/01/0001||0|0|0|0||||||||||||||||||||||0|0|||0||0|0|0||0|||0||0|40|484|484|01/04/2017|1|14|51|5|1||||0001-01-01|0001-01-01|0001-01-01||A3097387|453|453|||SI
01/01/2017|14/01/2017|32|32|74|3424|28|32|4152310000000032|415231|32||3424|VD|AAMM|74|3424|44|42921242||7261811|38360080|5411|C001||1200|0|20|0|68553|0|0|300195353|13/01/2017|163414|414|MXP|414|MXP|0|0|13/01/2017|0|13/01/2017|0|80|GLOB|N|N|OBBV|493727|133|TPV|N|||20|P|D|N|MX||12|SUPERAMA COPILCO           A8|13/01/2017 16:34|1||0|5||4|0|||8|13441.28|0|08/01/2015|1|4340|MX|DF||0|0|110||0|14/01/2017|PRESENTE|Compra||0|0|0|01/01/0001||0|0|0|0||||4|N|||17A13Q||0|0|0|0|0|0|0|0|||||||||0||0|0|0||0|||0||0|01F5|484|484|13/01/2017|0|22|51|5|1||||0001-01-01|0001-01-01|0001-01-01||B3402315|3424|3424|||SI
01/03/2017|25/03/2017|5|5|74|632|1|5|4152310000000005|415231|5||632|VD|AAMM|74|631|44|99729501|E467|584710000|||74|632|1200|1|20|0|0|0|0|7192|24/03/2017|150521|500|MXP|500|MXP|0|0|24/03/2017||24/03/2017|150521|E467|74|N|N|OBBV|611452|8212|CAJE|N|||20|P|D|N|MX|||584710000|24/03/2017 15:05|1||0|5||||||5|3812.31|0|07/10/2016|1|||||0|0|99|4|0|25/03/2017||Retiro cajero||0|0|0|01/01/0001||0|0|0|0||||||||||||||||||||||0|0|||0||0|0|0||0|||0||0|341|484|484|24/03/2017|1|14|51|5|1||||0001-01-01|0001-01-01|0001-01-01||94519734|631|632|||SI
01/12/2016|06/12/2016|70|70|74|61|28|70|4152310000000070|415231|70||61|VD|AAMM|74|4747|44|46436740||2579330||4121|VISA||1200|0|20|0|704361|0|0|133304050|05/12/2016|190309|29.16|MXP|29.16|MXP|0|0|05/12/2016|0|05/12/2016|0||GLOB|N|N|OBBV|211914|268|TPV|N|||20|P|D|N|NL||431328|UBER BV                    C0|05/12/2016 19:03|1||0|1||1|1|||0|2801.52|0|28/03/2016|1|0|NL|||0|1|0||1|06/12/2016|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/02/2017|21/02/2017|||4255|E766|DF|99|5515070000000099|551507|99||||AAMM|621||||A563|423390000|MMA563||74|6062|1200|1|20|0|5933|5|51|5933|19/02/2017|91404|934.22|MXP|934.22|MXP|4.72|34.22|20/02/2017|0|19/02/2017|0|A563|74|N|N|GLOB|0|0|CAJE||||P|A|A||MX||12|423390000|19/02/2017 09:14|3||0|5||||||5|0|0|01/01/0001|||MX|AG||0|0|0|1|0|21/02/2017||Retiro cajero||0|0|0|01/01/0001||0|0|0|0||||||||||||||||||||||3||||0||0|0|0||0|||0||0|408|25|13|0001-01-01|0|8|621||90|1508|||0001-01-01|0001-01-01|0001-01-01|||||||
